Destination_ID,Name,Description,Tags,City,Latitude,Longitude,Average_Rating
1,Galle Dutch Fort,"Built in the 16th century, this preserved Dutch sea fort houses a network of museums, shops & cafes.","Art_Cultural, Historical, Nature_Wildlife, Scenic_Viewpoints",Galle,6.0304645,80.2124458,4.7
2,Galle Lighthouse,Historic lighthouse at a fort with simple style & a nearby beach popular with swimmers.,"Historical, Scenic_Viewpoints",Galle,6.0245666,80.2167912,4.6
3,Galle Fort Clock Tower,"Longstanding tower featuring a large clock face, built in 1883 on top of a former guard room.","Historical, Scenic_Viewpoints",Galle,6.0300341,80.2125368,4.6
4,Maritime Museum,"Underwater artifacts, ship models & other marine-centric exhibits in a Dutch warehouse from 1671.","Art_Cultural, Historical",Galle,6.0300448,80.2125368,4.2
5,Dutch Reformed Church,Small 18th-century structure with stained-glass windows & tiled floors made of tombstones.,"Art_Cultural, Historical, Religious",Galle,6.0282011,79.9122379,4.5
6,Japanese Peace Pagoda - Rumassala,Unique Buddhist temple with a circular deck for sweeping views of the ocean & surrounding landscape.,"Art_Cultural, Historical, Religious, Scenic_Viewpoints",Galle,6.0158085,80.2352422,4.7
7,Old Dutch Hospital,,"Art_Cultural, Historical, Shopping_Local, Kid_friendly",Galle,6.0269241,80.2168946,4.5
8,"Sea Turtle Hatchery Centre, Mahamodara",Family-run turtle rescue center with tanks for injured creatures & newly hatched babies.,"Nature_Wildlife, Kid_friendly",Galle,6.0405805,80.1957911,4.4
9,Jungle Beach,"Compact sand beach, popular for swimming & sunbathing, with a tiki-style beach bar/seafood spot.","Nature_Wildlife, Adventure_Hiking, Relaxation_Wellness, Scenic_Viewpoints, Kid_friendly",Galle,6.018686,80.2373425,4.4
10,Unawatuna Beach,Beach with golden sand & palm trees offering activities like snorkeling & scuba diving.,"Nature_Wildlife, Adventure_Hiking, Relaxation_Wellness, Scenic_Viewpoints, Kid_friendly",Galle,6.0080961,80.2452188,4.5
11,Flag Rock Bastion,,"Historical, Scenic_Viewpoints",Galle,6.0236994,80.2149113,4.5
12,Galle Fort Attractions and Jumpers Sri Lanka,,"Adventure_Hiking, Scenic_Viewpoints",Galle,6.0304697,80.2124488,4.6
13,National Museum Galle,"Circa-1656 Dutch building now a museum, with artifacts like masks, carvings, ship equipment & armor.","Art_Cultural, Historical",Galle,6.0289228,80.214304,4.3
14,Historical Mansion Museum,,"Art_Cultural, Historical",Galle,6.0264764,80.2162977,4.4
15,Martin Wickramasinghe Folk Museum,"Simple home of a Sri Lankan author with displays on Buddhist culture, set in tree-dotted grounds.","Art_Cultural, Historical",Galle,5.9899423,80.3254441,4.7
